,Country,Population
0,Afghanistan ,31056997
1,Albania ,3581655
2,Algeria ,32930091
3,American Samoa ,57794
4,Andorra ,71201
5,Angola ,12127071
6,Anguilla ,13477
7,Antigua & Barbuda ,69108
8,Argentina ,39921833
9,Armenia ,2976372
10,Aruba ,71891
11,Australia ,20264082
12,Austria ,8192880
13,Azerbaijan ,7961619
14,"Bahamas, The ",303770
15,Bahrain ,698585
16,Bangladesh ,147365352
17,Barbados ,279912
18,Belarus ,10293011
19,Belgium ,10379067
20,Belize ,287730
21,Benin ,7862944
22,Bermuda ,65773
23,Bhutan ,2279723
24,Bolivia ,8989046
25,Bosnia & Herzegovina ,4498976
26,Botswana ,1639833
27,Brazil ,188078227
28,British Virgin Is. ,23098
29,Brunei ,379444
30,Bulgaria ,7385367
31,Burkina Faso ,13902972
32,Burma ,47382633
33,Burundi ,8090068
34,Cambodia ,13881427
35,Cameroon ,17340702
36,Canada ,33098932
37,Cape Verde ,420979
38,Cayman Islands ,45436
39,Central African Rep. ,4303356
40,Chad ,9944201
41,Chile ,16134219
42,China ,1313973713
43,Colombia ,43593035
44,Comoros ,690948
45,"Congo, Dem. Rep. ",62660551
46,"Congo, Repub. of the ",3702314
47,Cook Islands ,21388
48,Costa Rica ,4075261
49,Cote d'Ivoire ,17654843
50,Croatia ,4494749
51,Cuba ,11382820
52,Cyprus ,784301
53,Czech Republic ,10235455
54,Denmark ,5450661
55,Djibouti ,486530
56,Dominica ,68910
57,Dominican Republic ,9183984
58,East Timor ,1062777
59,Ecuador ,13547510
60,Egypt ,78887007
61,El Salvador ,6822378
62,Equatorial Guinea ,540109
63,Eritrea ,4786994
64,Estonia ,1324333
65,Ethiopia ,74777981
66,Faroe Islands ,47246
67,Fiji ,905949
68,Finland ,5231372
69,France ,60876136
70,French Guiana ,199509
71,French Polynesia ,274578
72,Gabon ,1424906
73,"Gambia, The ",1641564
74,Gaza Strip ,1428757
75,Georgia ,4661473
76,Germany ,82422299
77,Ghana ,22409572
78,Gibraltar ,27928
79,Greece ,10688058
80,Greenland ,56361
81,Grenada ,89703
82,Guadeloupe ,452776
83,Guam ,171019
84,Guatemala ,12293545
85,Guernsey ,65409
86,Guinea ,9690222
87,Guinea-Bissau ,1442029
88,Guyana ,767245
89,Haiti ,8308504
90,Honduras ,7326496
91,Hong Kong ,6940432
92,Hungary ,9981334
93,Iceland ,299388
94,India ,1095351995
95,Indonesia ,245452739
96,Iran ,68688433
97,Iraq ,26783383
98,Ireland ,4062235
99,Isle of Man ,75441
100,Israel ,6352117
101,Italy ,58133509
102,Jamaica ,2758124
103,Japan ,127463611
104,Jersey ,91084
105,Jordan ,5906760
106,Kazakhstan ,15233244
107,Kenya ,34707817
108,Kiribati ,105432
109,"Korea, North ",23113019
110,"Korea, South ",48846823
111,Kuwait ,2418393
112,Kyrgyzstan ,5213898
113,Laos ,6368481
114,Latvia ,2274735
115,Lebanon ,3874050
116,Lesotho ,2022331
117,Liberia ,3042004
118,Libya ,5900754
119,Liechtenstein ,33987
120,Lithuania ,3585906
121,Luxembourg ,474413
122,Macau ,453125
123,Macedonia ,2050554
124,Madagascar ,18595469
125,Malawi ,13013926
126,Malaysia ,24385858
127,Maldives ,359008
128,Mali ,11716829
129,Malta ,400214
130,Marshall Islands ,60422
131,Martinique ,436131
132,Mauritania ,3177388
133,Mauritius ,1240827
134,Mayotte ,201234
135,Mexico ,107449525
136,"Micronesia, Fed. St. ",108004
137,Moldova ,4466706
138,Monaco ,32543
139,Mongolia ,2832224
140,Montserrat ,9439
141,Morocco ,33241259
142,Mozambique ,19686505
143,Namibia ,2044147
144,Nauru ,13287
145,Nepal ,28287147
146,Netherlands ,16491461
147,Netherlands Antilles ,221736
148,New Caledonia ,219246
149,New Zealand ,4076140
150,Nicaragua ,5570129
151,Niger ,12525094
152,Nigeria ,131859731
153,N. Mariana Islands ,82459
154,Norway ,4610820
155,Oman ,3102229
156,Pakistan ,165803560
157,Palau ,20579
158,Panama ,3191319
159,Papua New Guinea ,5670544
160,Paraguay ,6506464
161,Peru ,28302603
162,Philippines ,89468677
163,Poland ,38536869
164,Portugal ,10605870
165,Puerto Rico ,3927188
166,Qatar ,885359
167,Reunion ,787584
168,Romania ,22303552
169,Russia ,142893540
170,Rwanda ,8648248
171,Saint Helena ,7502
172,Saint Kitts & Nevis ,39129
173,Saint Lucia ,168458
174,St Pierre & Miquelon ,7026
175,Saint Vincent and the Grenadines ,117848
